threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.0,11173556562.70769,124646397,0.0,0.0,0.995,0.994999954999595,0.9950178206415432,0.995,0.998,0.9950149551345964,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653925,0.992,mshenoda_roberta-spam,0.995,0.994999954999595,0.998,0.9950149551345964,0.992,0.9949849548645938
0.1,11032568916.201723,123073612,1.2617974027761103,1.2617974027761214,0.995,0.994999954999595,0.9950178206415432,0.995,0.998,0.9950149551345964,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653925,0.992,mshenoda_roberta-spam,0.995,0.994999954999595,0.998,0.9950149551345964,0.992,0.9949849548645938
0.2,10891643212.341278,121501518,2.523040437342128,2.523040437342139,0.996,0.995999983999936,0.996007936126978,0.996,0.998,0.996007984031936,0.99402390438247,0.998,0.994,0.995991983967936,0.997991967871486,0.994,mshenoda_roberta-spam,0.996,0.995999983999936,0.998,0.996007984031936,0.994,0.995991983967936
0.3,10751254105.69659,119935410,3.7794810868059026,3.7794810868059248,0.995,0.994999954999595,0.9950178206415432,0.995,0.998,0.9950149551345964,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653925,0.992,mshenoda_roberta-spam,0.995,0.994999954999595,0.998,0.9950149551345964,0.992,0.9949849548645938
0.4,10610932678.787603,118370057,5.0353160228129195,5.03531602281293,0.995,0.994999954999595,0.9950178206415432,0.995,0.998,0.9950149551345964,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653925,0.992,mshenoda_roberta-spam,0.995,0.994999954999595,0.998,0.9950149551345964,0.992,0.9949849548645938
0.5,10471793182.09742,116817889,6.2805730357372465,6.280573035737258,0.996,0.995999983999936,0.996007936126978,0.996,0.998,0.996007984031936,0.99402390438247,0.998,0.994,0.995991983967936,0.997991967871486,0.994,mshenoda_roberta-spam,0.996,0.995999983999936,0.998,0.996007984031936,0.994,0.995991983967936
0.6000000000000001,10332552300.266735,115264590,7.526737415442497,7.526737415442519,0.996,0.995999983999936,0.996007936126978,0.996,0.998,0.996007984031936,0.99402390438247,0.998,0.994,0.995991983967936,0.997991967871486,0.994,mshenoda_roberta-spam,0.996,0.995999983999936,0.998,0.996007984031936,0.994,0.995991983967936
0.7000000000000001,10193573711.027653,113714217,8.770554354651738,8.770554354651761,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
0.8,10056237632.778263,112182167,9.99967131019439,9.999671310194405,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
0.9,9921062555.043451,110674224,11.209447955402997,11.209447955403007,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.0,9786935661.61266,109177974,12.409843663591811,12.409843663591836,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.1,9652751486.922115,107681085,13.610752021977824,13.610752021977834,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.2000000000000002,9518730998.585726,106186022,14.81019543629488,14.810195436294904,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.3,9384945641.30462,104693582,16.007534497768116,16.007534497768127,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.4,9252090051.20057,103211514,17.196552420203524,17.19655242020354,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.5,9122324780.577974,101763920,18.35791290461448,18.357912904614498,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.6,8994783349.53582,100341134,19.49937068778651,19.49937068778651,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.7000000000000002,8869783987.29494,98946706,20.61807771306859,20.618077713068605,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.8,8746926800.741491,97576175,21.717612904607265,21.717612904607275,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.9,8625637991.215588,96223140,22.8031115893386,22.80311158933861,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
2.0,8504858527.727093,94875787,23.884051778889372,23.884051778889383,0.995,0.994999954999595,0.9950178206415432,0.995,0.992,0.9949849548645938,0.9979879275653925,0.992,0.998,0.9950149551345964,0.9920477137176938,0.998,mshenoda_roberta-spam,0.9752750000000001,0.9750760693244753,0.9536,0.9731615198157364,0.99695,0.9769906188332145
