threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,11173537400.80356,97644285,0.0,0.0,0.433,0.4060532289439585,0.4181453445470139,0.433,0.646,0.5325638911788954,0.453015427769986,0.646,0.22,0.2795425667090216,0.3832752613240418,0.22
0.1,10915394012.350779,95388399,2.3103103269177527,2.3103103269177527,0.436,0.4056426015149791,0.41956727192294546,0.436,0.662,0.5399673735725938,0.4559228650137741,0.662,0.21,0.2713178294573643,0.38321167883211676,0.21
0.2,10658307051.289362,93141745,4.6111659274272965,4.611165927427285,0.439,0.41438972833320287,0.4266738790720038,0.439,0.644,0.5344398340248963,0.45673758865248226,0.644,0.234,0.2943396226415094,0.39661016949152544,0.234
0.30000000000000004,10403794102.115005,90917585,6.888984849446134,6.888984849446134,0.428,0.392417540863107,0.4059737980317182,0.428,0.67,0.5394524959742351,0.45148247978436656,0.67,0.186,0.24538258575197888,0.36046511627906974,0.186
0.4,10153573461.373287,88730935,9.128388824804235,9.128388824804222,0.433,0.38733898739128514,0.4045426309760587,0.433,0.706,0.5545954438334643,0.45666235446313064,0.706,0.16,0.2200825309491059,0.3524229074889868,0.16
0.5,9908227354.212303,86586883,11.324167103072135,11.324167103072124,0.423,0.37429445464393885,0.3881847594374967,0.423,0.702,0.5488663017982799,0.45057766367137353,0.702,0.144,0.19972260748959778,0.3257918552036199,0.144
0.6000000000000001,9668884185.14963,84495290,13.466220782916272,13.46622078291626,0.428,0.4041666666666667,0.41428571428571426,0.428,0.628,0.5233333333333333,0.44857142857142857,0.628,0.228,0.285,0.38,0.228
0.7000000000000001,9436816999.54152,82467281,15.543156468399555,15.543156468399545,0.424,0.39002694047679565,0.40221508563899866,0.424,0.66,0.5339805825242718,0.4483695652173913,0.66,0.188,0.24607329842931938,0.3560606060606061,0.188
0.8,9212228225.903496,80504625,17.5531624815523,17.5531624815523,0.454,0.39677573314949355,0.4258714933993399,0.454,0.762,0.5825688073394495,0.4715346534653465,0.762,0.146,0.21098265895953758,0.3802083333333333,0.146
0.9,8995511621.455416,78610763,19.492714806606447,19.492714806606447,0.454,0.38167866315756094,0.41355723262876215,0.454,0.796,0.5931445603576752,0.47268408551068886,0.796,0.112,0.1702127659574468,0.35443037974683544,0.112
1.0,8787745355.48686,76795117,21.352164133313078,21.352164133313078,0.469,0.3505945545335471,0.3854753143887337,0.469,0.896,0.6278906797477225,0.48327939590075514,0.896,0.042,0.07329842931937172,0.2876712328767123,0.042
1.1,8589025321.212082,75058525,23.130652244522043,23.130652244522043,0.481,0.3424711681842196,0.37919326534245534,0.481,0.94,0.6442769019876627,0.49009384775808135,0.94,0.022,0.04066543438077634,0.2682926829268293,0.022
1.2000000000000002,8399109954.698761,73398876,24.830341069116336,24.830341069116322,0.486,0.34341963405225057,0.3934356351236147,0.486,0.952,0.6493860845839018,0.4927536231884058,0.952,0.02,0.03745318352059925,0.29411764705882354,0.02
1.3,8218074551.57336,71816828,26.45055673253176,26.45055673253176,0.488,0.3313692304477737,0.3094512195121951,0.488,0.972,0.6549865229110512,0.49390243902439024,0.972,0.004,0.007751937984496124,0.125,0.004
1.4000000000000001,8045782710.032318,70311189,27.992519992337495,27.992519992337485,0.494,0.33065595716198126,0.24849094567404426,0.494,0.988,0.6613119143239625,0.4969818913480885,0.988,0.0,0.0,0.0,0.0
1.5,7881977761.245602,68879716,29.45852796197954,29.45852796197954,0.488,0.3313692304477737,0.3094512195121951,0.488,0.972,0.6549865229110512,0.49390243902439024,0.972,0.004,0.007751937984496124,0.125,0.004
1.6,7726281167.322113,67519101,30.85196844853746,30.85196844853746,0.496,0.3315508021390374,0.24899598393574296,0.496,0.992,0.6631016042780749,0.4979919678714859,0.992,0.0,0.0,0.0,0.0
1.7000000000000002,7578488897.711722,66227561,32.17466746773761,32.17466746773761,0.498,0.3324432576769025,0.24949899799599198,0.498,0.996,0.664886515353805,0.49899799599198397,0.996,0.0,0.0,0.0,0.0
1.8,7438187627.486179,65001484,33.4303241608047,33.430324160804695,0.495,0.3311036789297659,0.24874371859296482,0.495,0.99,0.6622073578595318,0.49748743718592964,0.99,0.0,0.0,0.0,0.0
1.9000000000000001,7304793300.600688,63835766,34.62416566417584,34.62416566417584,0.491,0.32930918846411805,0.2477295660948537,0.491,0.982,0.6586183769282361,0.4954591321897074,0.982,0.0,0.0,0.0,0.0
2.0,7178309121.124465,62730435,35.75616330233766,35.756163302337654,0.493,0.3302076356329538,0.24823766364551864,0.493,0.986,0.6604152712659076,0.49647532729103727,0.986,0.0,0.0,0.0,0.0
2.1,7057689418.184207,61676353,36.8356755339035,36.83567553390349,0.479,0.32386747802569305,0.24463738508682328,0.479,0.958,0.6477349560513861,0.48927477017364657,0.958,0.0,0.0,0.0,0.0
2.2,6942494891.004847,60669681,37.86663397658142,37.86663397658142,0.459,0.31775907184968,0.2614892379290285,0.459,0.914,0.6281786941580756,0.47853403141361256,0.914,0.004,0.007339449541284404,0.044444444444444446,0.004
2.3000000000000003,6832677020.824042,59709995,38.84947285957391,38.84947285957389,0.489,0.32840832773673606,0.24721941354903942,0.489,0.978,0.6568166554734721,0.49443882709807885,0.978,0.0,0.0,0.0,0.0
2.4000000000000004,6727429984.235163,58790253,39.79140407449345,39.79140407449345,0.495,0.3311036789297659,0.24874371859296482,0.495,0.99,0.6622073578595318,0.49748743718592964,0.99,0.0,0.0,0.0,0.0
