threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
6.2,1613070981.2811313,19331806,71.12716988806618,71.12716988806618,0.602,0.5270890070770298,0.7783964365256124,0.602,0.204,0.3388704318936877,1.0,0.204,1.0,0.7153075822603719,0.5567928730512249,1.0
6.300000000000001,1581209756.1326694,18949966,71.69746329210412,71.69746329210412,0.581,0.491775619542501,0.7720348204570184,0.581,0.162,0.27882960413080893,1.0,0.162,1.0,0.704721634954193,0.544069640914037,1.0
6.4,1549858357.31371,18574236,72.2586311652949,72.2586311652949,0.586,0.5003644684312409,0.7735229759299781,0.586,0.172,0.2935153583617747,1.0,0.172,1.0,0.7072135785007072,0.5470459518599562,1.0
6.5,1519045822.3958833,18204964,72.81015375563611,72.81015375563612,0.581,0.491775619542501,0.7720348204570184,0.581,0.162,0.27882960413080893,1.0,0.162,1.0,0.704721634954193,0.544069640914037,1.0
6.6000000000000005,1488950215.108676,17844284,73.34884384826235,73.34884384826235,0.584,0.49694296107112457,0.7729257641921397,0.584,0.168,0.2876712328767123,1.0,0.168,1.0,0.7062146892655368,0.5458515283842795,1.0
6.7,1459314870.020083,17489120,73.87929557294213,73.87929557294213,0.591,0.5088379153111674,0.7750275027502751,0.591,0.182,0.3079526226734349,1.0,0.182,1.0,0.7097232079489,0.5500550055005501,1.0
6.800000000000001,1430262362.3965592,17140941,74.39931491906752,74.39931491906752,0.555,0.44511986034477374,0.7645502645502645,0.555,0.11,0.1981981981981982,1.0,0.11,1.0,0.6920415224913494,0.5291005291005291,1.0
6.9,1401788102.966726,16799692,74.90898403135155,74.90898403135155,0.569,0.47067138763925587,0.7685284640171858,0.569,0.138,0.24253075571177504,1.0,0.138,1.0,0.6988120195667366,0.5370569280343717,1.0
7.0,1373851873.0250485,16464891,75.40902279618841,75.40902279618841,0.567,0.46708413793782483,0.7679528403001072,0.567,0.134,0.23633156966490299,1.0,0.134,1.0,0.6978367062107467,0.5359056806002144,1.0
7.1000000000000005,1346491388.0381277,16136990,75.898756133391,75.898756133391,0.553,0.4413833697204792,0.7639915522703273,0.553,0.106,0.19168173598553345,1.0,0.106,1.0,0.691085003455425,0.5279831045406547,1.0
7.2,1319672687.397763,15815582,76.37879191383576,76.37879191383576,0.542,0.4204263030284624,0.7609603340292276,0.542,0.084,0.15498154981549817,1.0,0.084,1.0,0.6858710562414266,0.5219206680584552,1.0
7.300000000000001,1293314415.8386083,15499692,76.85058633925357,76.85058633925357,0.552,0.4395067659540396,0.7637130801687763,0.552,0.104,0.18840579710144928,1.0,0.104,1.0,0.6906077348066298,0.5274261603375527,1.0
7.4,1267539482.3923094,15190793,77.3119394248756,77.3119394248756,0.526,0.3886426835748668,0.7566735112936345,0.526,0.052,0.09885931558935361,1.0,0.052,1.0,0.6784260515603799,0.5133470225872689,1.0
7.5,1242174996.689844,14886813,77.76594578607255,77.76594578607255,0.526,0.3886426835748668,0.7566735112936345,0.526,0.052,0.09885931558935361,1.0,0.052,1.0,0.6784260515603799,0.5133470225872689,1.0
7.6000000000000005,1217404362.7037559,14589950,78.20932262140387,78.20932262140387,0.521,0.3783733627146007,0.7553626149131767,0.521,0.042,0.08061420345489444,1.0,0.042,1.0,0.676132521974307,0.5107252298263534,1.0
7.7,1193241848.8959677,14300375,78.64181453548905,78.64181453548905,0.511,0.3573222549183247,0.7527805864509606,0.511,0.022,0.043052837573385516,1.0,0.022,1.0,0.6715916722632639,0.5055611729019212,1.0
7.800000000000001,1169600676.3167768,14017048,79.06497481017439,79.06497481017439,0.509,0.35302713464809815,0.7522704339051464,0.509,0.018,0.03536345776031434,1.0,0.018,1.0,0.670690811535882,0.5045408678102926,1.0
7.9,1146348173.3026955,13738379,79.48117817443651,79.48117817443651,0.507,0.34870288829792156,0.7517623363544813,0.507,0.014,0.027613412228796843,1.0,0.014,1.0,0.6697923643670463,0.5035246727089627,1.0
8.0,1123613006.3349178,13465910,79.88812158923017,79.88812158923017,0.506,0.3465297289288908,0.7515090543259557,0.506,0.012,0.023715415019762844,1.0,0.012,1.0,0.6693440428380187,0.5030181086519114,1.0
8.1,1101405188.3691783,13199761,80.28562582972695,80.28562582972694,0.507,0.34870288829792156,0.7517623363544813,0.507,0.014,0.027613412228796843,1.0,0.014,1.0,0.6697923643670463,0.5035246727089627,1.0
8.200000000000001,1079745746.6125202,12940184,80.67331452378717,80.67331452378717,0.505,0.34434915063412697,0.7512562814070352,0.505,0.01,0.019801980198019802,1.0,0.01,1.0,0.6688963210702341,0.5025125628140703,1.0
8.3,1058457034.5419469,12685050,81.05436741857505,81.05436741857505,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.4,1037628250.9047968,12435428,81.42718791957746,81.42718791957746,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.5,1017227187.3601227,12190932,81.79235253332577,81.79235253332577,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.6,997397196.0575294,11953280,82.14729535769311,82.14729535769311,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.700000000000001,977959962.9436375,11720335,82.4952080881656,82.4952080881656,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.8,959032472.71795,11493499,82.83399678133118,82.83399678133118,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
8.9,940524108.131066,11271686,83.16528342188707,83.16528342188708,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
9.0,922412673.7977732,11054630,83.48946529153629,83.48946529153629,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
9.1,904845777.3738633,10844100,83.80390031759984,83.80390031759984,0.5,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,1.0
