threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,negative_accuracy,negative_f1,negative_precision,negative_recall,neutral_accuracy,neutral_f1,neutral_precision,neutral_recall,positive_accuracy,positive_f1,positive_precision,positive_recall
0.0,11173594992.95559,278045187,0.0,0.0,0.6952461799660441,0.6809039848923805,0.7223657964817742,0.6952461799660441,0.8861138861138861,0.7246732026143791,0.612992398064962,0.8861138861138861,0.45104895104895104,0.5764075067024129,0.7982673267326733,0.45104895104895104,0.8386219401631912,0.7766582703610412,0.7232212666145426,0.8386219401631912
0.1,11017948400.248821,274172057,1.3929858098928327,1.3929858098928327,0.6966610073571025,0.6827115755190588,0.7237871203629351,0.6966610073571025,0.8871128871128872,0.7263803680981595,0.6149584487534626,0.8871128871128872,0.4552447552447552,0.5804725813642443,0.8007380073800738,0.4552447552447552,0.8368087035358114,0.7756302521008404,0.7227877838684417,0.8368087035358114
0.2,10864248751.260302,270347375,2.768547113890518,2.768547113890518,0.6949632144878325,0.6802251425798653,0.721412609106818,0.6949632144878325,0.8861138861138861,0.7267513314215486,0.6159722222222223,0.8861138861138861,0.4489510489510489,0.5742397137745975,0.7965260545905707,0.4489510489510489,0.8404351767905711,0.7754077791718946,0.71972049689441,0.8404351767905711
0.30000000000000004,10714029352.577911,266609296,4.112961322362329,4.112961322362341,0.6955291454442558,0.6807761700865387,0.7226379276807234,0.6955291454442558,0.8821178821178821,0.7270481679703582,0.6183473389355743,0.8821178821178821,0.44965034965034967,0.5761648745519713,0.8017456359102244,0.44965034965034967,0.8449682683590208,0.7744079767345243,0.7147239263803681,0.8449682683590208
0.4,10568456489.715836,262986842,5.415790563567635,5.415790563567624,0.6952461799660441,0.6811506648276193,0.7201740597451237,0.6952461799660441,0.8761238761238761,0.7296173044925125,0.6250890947968638,0.8761238761238761,0.45594405594405596,0.5800711743772242,0.7970660146699267,0.45594405594405596,0.8413417951042611,0.7682119205298014,0.7067783701447068,0.8413417951042611
0.5,10428096788.880045,259494113,6.671963719336027,6.671963719336027,0.6992076966610073,0.6875488955446077,0.7188807005863336,0.6992076966610073,0.8621378621378621,0.7264309764309764,0.6276363636363637,0.8621378621378621,0.4783216783216783,0.59375,0.782608695652174,0.4783216783216783,0.8377153218495014,0.7738693467336684,0.7190661478599222,0.8377153218495014
0.6000000000000001,10292882415.670855,256129421,7.882087885232847,7.882087885232836,0.7085455574419921,0.699808727223899,0.7229221334091751,0.7085455574419921,0.8551448551448552,0.7300639658848614,0.6369047619047619,0.8551448551448552,0.5125874125874126,0.6159663865546219,0.771578947368421,0.5125874125874126,0.8295557570262919,0.7810499359795134,0.7379032258064516,0.8295557570262919
0.7000000000000001,10162866335.573326,252894084,9.045689037587978,9.045689037587978,0.7178834182229767,0.7120188262084252,0.7254727465465235,0.7178834182229767,0.8361638361638362,0.7374449339207049,0.6595744680851063,0.8361638361638362,0.5559440559440559,0.6406124093473006,0.7557034220532319,0.5559440559440559,0.8204895738893926,0.7815198618307426,0.7460840890354493,0.8204895738893926
0.8,10037706643.923601,249779594,10.165827110684711,10.165827110684711,0.72014714204867,0.7147807536993682,0.7260101703425608,0.72014714204867,0.8341658341658341,0.7415630550621669,0.6674660271782574,0.8341658341658341,0.5657342657342658,0.6448784376245517,0.7497683039851715,0.5657342657342658,0.8168631006346329,0.7811009969657564,0.7483388704318937,0.8168631006346329
0.9,9917266466.334616,246782545,11.243727085266897,11.243727085266897,0.7173174872665535,0.7136179302868152,0.7240008749735031,0.7173174872665535,0.8421578421578422,0.7352812908853031,0.6524767801857585,0.8421578421578422,0.5811188811188811,0.6489652479500195,0.7347480106100795,0.5811188811188811,0.7805983680870353,0.7777777777777778,0.774977497749775,0.7805983680870353
