threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,5586812928.0,66955010,0.0,0.0,0.972,0.9719780307761284,0.9734848484848485,0.972,1.0,0.9727626459143969,0.946969696969697,1.0,0.944,0.9711934156378601,1.0,0.944
0.1,5427170200.062402,65041776,2.857491918827282,2.857491918827293,0.972,0.9719780307761284,0.9734848484848485,0.972,1.0,0.9727626459143969,0.946969696969697,1.0,0.944,0.9711934156378601,1.0,0.944
0.2,5270985112.622662,63169980,5.653094518244417,5.653094518244417,0.972,0.9719780307761284,0.9734848484848485,0.972,1.0,0.9727626459143969,0.946969696969697,1.0,0.944,0.9711934156378601,1.0,0.944
0.30000000000000004,5121255127.42132,61375545,8.333155353124432,8.333155353124432,0.971,0.9709755904715867,0.9725897920604915,0.971,1.0,0.9718172983479106,0.945179584120983,1.0,0.942,0.9701338825952626,1.0,0.942
0.4,4979398078.990439,59675463,10.872296188141862,10.872296188141862,0.969,0.96897018034331,0.9708097928436912,0.969,1.0,0.9699321047526673,0.9416195856873822,1.0,0.938,0.9680082559339526,1.0,0.938
0.5,4845988627.547906,58076621,13.26023101183914,13.26023101183914,0.969,0.96897018034331,0.9708097928436912,0.969,1.0,0.9699321047526673,0.9416195856873822,1.0,0.938,0.9680082559339526,1.0,0.938
0.6000000000000001,4720662635.270159,56574655,15.503477633712548,15.503477633712548,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
0.7000000000000001,4602800550.521103,55162140,17.613125589855038,17.613125589855027,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
0.8,4491707474.172734,53830748,19.60161308317331,19.60161308317331,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
0.9,4386399549.882801,52568688,21.486550446337027,21.486550446337027,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
1.0,4286441714.724623,51370746,23.275724998024792,23.275724998024792,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
1.1,4191507462.8999434,50233009,24.974980961096115,24.974980961096115,0.967,0.9669640238219419,0.9690431519699811,0.967,1.0,0.968054211035818,0.9380863039399625,1.0,0.934,0.9658738366080661,1.0,0.934
1.2000000000000002,4101062519.779008,49149074,26.593881473544702,26.593881473544702,0.964,0.9639532834553581,0.9664179104477612,0.964,1.0,0.9652509652509652,0.9328358208955224,1.0,0.928,0.9626556016597511,1.0,0.928
1.3,4014705115.5129533,48114126,28.139617931503558,28.139617931503558,0.964,0.9639532834553581,0.9664179104477612,0.964,1.0,0.9652509652509652,0.9328358208955224,1.0,0.928,0.9626556016597511,1.0,0.928
1.4000000000000001,3932220305.3186693,47125589,29.616037694565357,29.616037694565357,0.964,0.9639532834553581,0.9664179104477612,0.964,1.0,0.9652509652509652,0.9328358208955224,1.0,0.928,0.9626556016597511,1.0,0.928
1.5,3853254798.741312,46179229,31.029464411998443,31.029464411998443,0.96,0.9599358974358975,0.962962962962963,0.96,1.0,0.9615384615384616,0.9259259259259259,1.0,0.92,0.9583333333333334,1.0,0.92
1.6,3777451633.9089293,45270768,32.38628744884065,32.38628744884065,0.957,0.956920345719235,0.9604051565377533,0.957,1.0,0.9587727708533078,0.9208103130755064,1.0,0.914,0.955067920585162,1.0,0.914
1.7000000000000002,3704631078.2660813,44398052,33.68972389071408,33.68972389071408,0.954,0.9539024576002822,0.9578754578754579,0.954,1.0,0.9560229445506692,0.9157509157509157,1.0,0.908,0.9517819706498952,1.0,0.908
1.8,3634655703.995306,43559434,34.94223359835209,34.94223359835209,0.949,0.948867003074998,0.9537205081669691,0.949,1.0,0.9514747859181731,0.9074410163339383,1.0,0.898,0.946259220231823,1.0,0.898
1.9000000000000001,3567051230.7599607,42749230,36.152305854334124,36.152305854334124,0.949,0.948867003074998,0.9537205081669691,0.949,1.0,0.9514747859181731,0.9074410163339383,1.0,0.898,0.946259220231823,1.0,0.898
2.0,3501717862.767886,41966244,37.32172693275678,37.32172693275678,0.946,0.9458420754921351,0.9512635379061372,0.946,1.0,0.9487666034155597,0.9025270758122743,1.0,0.892,0.9429175475687104,1.0,0.892
2.1,3438606536.535982,41209888,38.451375035266224,38.451375035266224,0.943,0.9428142033466733,0.9488330341113106,0.943,1.0,0.9460737937559129,0.8976660682226212,1.0,0.886,0.9395546129374337,1.0,0.886
