threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.0,11173625856.0,109483778,0.0,0.0,0.977,0.9769933510784616,0.9775520501699966,0.977,0.994,0.9773844641101278,0.9613152804642168,0.994,0.96,0.9766022380467956,0.9937888198757764,0.96,cesullivan99_sms-spam-weighted,0.977,0.9769933510784616,0.994,0.9773844641101278,0.96,0.9766022380467956
0.1,10811633792.581604,105936831,3.239700953688318,3.239700953688318,0.977,0.9769933510784616,0.9775520501699966,0.977,0.994,0.9773844641101278,0.9613152804642168,0.994,0.96,0.9766022380467956,0.9937888198757764,0.96,cesullivan99_sms-spam-weighted,0.977,0.9769933510784616,0.994,0.9773844641101278,0.96,0.9766022380467956
0.2,10455502475.38633,102447310,6.426950301258327,6.426950301258327,0.977,0.9769933510784616,0.9775520501699966,0.977,0.994,0.9773844641101278,0.9613152804642168,0.994,0.96,0.9766022380467956,0.9937888198757764,0.96,cesullivan99_sms-spam-weighted,0.977,0.9769933510784616,0.994,0.9773844641101278,0.96,0.9766022380467956
0.3,10110746267.941635,99069247,9.51239643922408,9.51239643922408,0.977,0.9769933510784616,0.9775520501699966,0.977,0.994,0.9773844641101278,0.9613152804642168,0.994,0.96,0.9766022380467956,0.9937888198757764,0.96,cesullivan99_sms-spam-weighted,0.977,0.9769933510784616,0.994,0.9773844641101278,0.96,0.9766022380467956
0.4,9781732000.766708,95845430,12.456957778713118,12.456957778713118,0.977,0.9769933510784616,0.9775520501699966,0.977,0.994,0.9773844641101278,0.9613152804642168,0.994,0.96,0.9766022380467956,0.9937888198757764,0.96,cesullivan99_sms-spam-weighted,0.977,0.9769933510784616,0.994,0.9773844641101278,0.96,0.9766022380467956
0.5,9470692280.770912,92797735,15.24065327741978,15.24065327741978,0.976,0.9759922214797594,0.976617696534709,0.976,0.994,0.9764243614931236,0.9594594594594594,0.994,0.958,0.9755600814663952,0.9937759336099584,0.958,cesullivan99_sms-spam-weighted,0.976,0.9759922214797594,0.994,0.9764243614931236,0.958,0.9755600814663952
0.6000000000000001,9180102611.391504,89950418,17.84132805501104,17.84132805501104,0.976,0.9759922214797594,0.976617696534709,0.976,0.994,0.9764243614931236,0.9594594594594594,0.994,0.958,0.9755600814663952,0.9937759336099584,0.958,cesullivan99_sms-spam-weighted,0.976,0.9759922214797594,0.994,0.9764243614931236,0.958,0.9755600814663952
0.7000000000000001,8909908800.167852,87302948,20.259467114845087,20.259467114845087,0.976,0.9759903961584636,0.9767628205128206,0.976,0.996,0.976470588235294,0.9576923076923076,0.996,0.956,0.9755102040816328,0.9958333333333332,0.956,cesullivan99_sms-spam-weighted,0.976,0.9759903961584636,0.996,0.976470588235294,0.956,0.9755102040816328
0.8,8659880707.742638,84853070,22.497130122784036,22.49713012278405,0.975,0.97498897013583,0.9758393806674974,0.975,0.996,0.9755142017629774,0.9558541266794626,0.996,0.954,0.9744637385086824,0.9958246346555324,0.954,cesullivan99_sms-spam-weighted,0.975,0.97498897013583,0.996,0.9755142017629774,0.954,0.9744637385086824
0.9,8428190486.714755,82582874,24.570675666672734,24.570675666672734,0.973,0.972985709440294,0.9740029903275332,0.973,0.996,0.9736070381231672,0.9521988527724664,0.996,0.95,0.9723643807574208,0.9958071278825996,0.95,cesullivan99_sms-spam-weighted,0.973,0.972985709440294,0.996,0.9736070381231672,0.95,0.9723643807574208
