threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.8,10056237632.778263,112182167,9.99967131019439,9.999671310194405,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
0.9,9921062555.043451,110674224,11.209447955402997,11.209447955403007,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.996,0.996,0.996,0.996,0.996,0.996
1.0,9786935661.61266,109177974,12.409843663591811,12.409843663591836,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9958,0.9957999885999094,0.9967,0.9958041886317097,0.9949,0.9957957885681091
1.1,9652751486.922115,107681085,13.610752021977824,13.610752021977834,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9958,0.9957999885999094,0.9963999999999998,0.9958026886182095,0.9952,0.9957972885816092
1.2000000000000002,9518730998.585726,106186022,14.81019543629488,14.810195436294904,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.99565,0.9956499764494111,0.9958,0.9956495263745582,0.9954999999999998,0.9956504265242643
1.3,9384945641.30462,104693582,16.007534497768116,16.007534497768127,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9955999999999999,0.9955999749993942,0.9955,0.995598374916191,0.9956999999999999,0.9956015750825973
1.4,9252090051.20057,103211514,17.196552420203524,17.19655242020354,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9955499999999999,0.9955499724493377,0.9950999999999999,0.9955464223401842,0.9960000000000001,0.995553522558491
1.5,9122324780.577974,101763920,18.35791290461448,18.357912904614498,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.99535,0.9953499382464053,0.9943000000000002,0.9953415878024252,0.9964000000000001,0.9953582886903855
1.6,8994783349.53582,100341134,19.49937068778651,19.49937068778651,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9950999999999999,0.9950999025934557,0.9935,0.995087101819799,0.9967,0.9951127033671124
1.7000000000000002,8869783987.29494,98946706,20.61807771306859,20.618077713068605,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9945499999999999,0.9945497346054817,0.9921,0.9945252812984051,0.9970000000000001,0.9945741879125579
1.8,8746926800.741491,97576175,21.717612904607265,21.717612904607275,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9939500000000001,0.9939495297530392,0.9907,0.993912273168324,0.9972,0.9939867863377547
1.9,8625637991.215588,96223140,22.8031115893386,22.80311158933861,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,mshenoda_roberta-spam,0.9931999999999999,0.9931991866791897,0.9889999999999999,0.9931438735760713,0.9974000000000001,0.9932544997823083
2.0,8504858527.727093,94875787,23.884051778889372,23.884051778889383,0.995,0.994999954999595,0.9950178206415432,0.995,0.992,0.9949849548645938,0.9979879275653925,0.992,0.998,0.9950149551345964,0.9920477137176938,0.998,mshenoda_roberta-spam,0.9921,0.9920983072847191,0.9865999999999999,0.9920091713173441,0.9976,0.9921874432520938
2.1,8384962038.273883,93538284,24.957089614070437,24.957089614070437,0.992,0.9919997119896315,0.9920708582035812,0.992,0.986,0.9919517102615694,0.9979757085020244,0.986,0.998,0.9920477137176938,0.9861660079051384,0.998,mshenoda_roberta-spam,0.9909999999999999,0.9909974278902484,0.9842000000000001,0.9908744690586173,0.9978,0.9911203867218793
2.2,8265813701.23676,92209127,26.023431708178457,26.023431708178467,0.995,0.994999954999595,0.9950178206415432,0.995,0.992,0.9949849548645938,0.9979879275653925,0.992,0.998,0.9950149551345964,0.9920477137176938,0.998,mshenoda_roberta-spam,0.9896499999999999,0.9896459369074139,0.9812999999999998,0.9894748818553151,0.998,0.9898169919595128
2.3000000000000003,8147686835.177513,90891365,27.08063194157149,27.08063194157149,0.994,0.993999903998464,0.9940316180235534,0.994,0.99,0.993975903614458,0.997983870967742,0.99,0.998,0.99402390438247,0.9900793650793652,0.998,mshenoda_roberta-spam,0.9872500000000001,0.9872388874456692,0.9763,0.9869322658215596,0.9982000000000001,0.9875455090697789
2.4000000000000004,8030125520.711018,89579912,28.132770656820504,28.132770656820515,0.991,0.9909992709409462,0.9911591355599214,0.991,0.982,0.9909182643794148,1.0,0.982,1.0,0.9910802775024776,0.9823182711198428,1.0,mshenoda_roberta-spam,0.9848999999999999,0.9848827501600466,0.9715,0.9844508778089415,0.9983000000000001,0.9853146225111515
2.5,7913470307.924587,88278567,29.17680003217421,29.17680003217422,0.991,0.9909992709409462,0.9911591355599214,0.991,0.982,0.9909182643794148,1.0,0.982,1.0,0.9910802775024776,0.9823182711198428,1.0,mshenoda_roberta-spam,0.98095,0.9809053421863311,0.9635,0.9801350997893549,0.9984,0.9816755845833072
2.6,7797706585.166675,86987167,30.212850837557703,30.212850837557713,0.985,0.984996624240454,0.9854368932038836,0.985,0.97,0.9847715736040608,1.0,0.97,1.0,0.9852216748768472,0.970873786407767,1.0,mshenoda_roberta-spam,0.9762500000000001,0.9761597637353265,0.9540000000000001,0.9749147458070541,0.9984999999999999,0.977404781663599
2.7,7683266247.757278,85710530,31.2370577386204,31.23705773862041,0.984,0.9839959029511556,0.9844961240310076,0.984,0.968,0.983739837398374,1.0,0.968,1.0,0.984251968503937,0.9689922480620154,1.0,mshenoda_roberta-spam,0.9713499999999999,0.9712082485838114,0.9440999999999999,0.9694480791403874,0.9986,0.9729684180272354
