threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model_id
0.0,5586812844.558702,66955009,0.0,0.0,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.1,5427130064.798164,65041295,2.8582088608187672,2.8582088608187672,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.2,5270893243.753794,63168879,5.654737496936191,5.654737496936201,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.3,5121136473.895862,61374123,8.335277798260021,8.335277798260021,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.4,4979191228.013216,59672984,10.875997343230882,10.875997343230893,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.5,4845790955.113439,58074252,13.26376791316688,13.263767913166893,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.6000000000000001,4720250769.024263,56569719,15.510848486332062,15.510848486332074,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.7000000000000001,4602322849.091249,55156415,17.621674877229875,17.621674877229886,0.99,0.9899996399870395,0.9900705701621032,0.99,0.996,0.9900596421471172,0.984189723320158,0.996,0.984,0.9899396378269618,0.9959514170040484,0.984,2
0.8,4491192557.924067,53824577,19.610828519192648,19.610828519192648,0.988,0.9879992319508448,0.9881249599897574,0.988,0.996,0.988095238095238,0.9803149606299212,0.996,0.98,0.9879032258064516,0.9959349593495936,0.98,2
0.9,4385896649.181016,52562661,21.49555084071455,21.49555084071455,0.986,0.985998599859986,0.9861944777911164,0.986,0.996,0.986138613861386,0.976470588235294,0.996,0.976,0.985858585858586,0.9959183673469388,0.976,2
1.0,4285875815.843005,51363964,23.28585304200318,23.28585304200318,0.986,0.985998599859986,0.9861944777911164,0.986,0.996,0.986138613861386,0.976470588235294,0.996,0.976,0.985858585858586,0.9959183673469388,0.976,2
1.1,4191013657.299618,50227091,24.983818611688935,24.983818611688935,0.986,0.9859979837096542,0.9862800973360656,0.986,0.998,0.9861660079051384,0.974609375,0.998,0.974,0.98582995951417,0.9979508196721312,0.974,2
1.2000000000000002,4100447724.296885,49141706,26.604884781659877,26.604884781659887,0.986,0.985998599859986,0.9861944777911164,0.986,0.996,0.986138613861386,0.976470588235294,0.996,0.976,0.985858585858586,0.9959183673469388,0.976,2
1.3,4014050017.883997,48106275,28.15134264263933,28.15134264263933,0.985,0.9849981847803584,0.9852348536691758,0.985,0.996,0.9851632047477744,0.974559686888454,0.996,0.974,0.9848331648129424,0.9959100204498976,0.974,2
1.4,3931511137.7287455,47117090,29.62873024182552,29.62873024182552,0.984,0.9839976956681762,0.9842789446721312,0.984,0.996,0.984189723320158,0.97265625,0.996,0.972,0.9838056680161944,0.9959016393442623,0.972,2
1.5,3852459770.05596,46169701,31.043693833272435,31.043693833272435,0.983,0.9829971265143808,0.9833267288687152,0.983,0.996,0.983218163869694,0.9707602339181286,0.996,0.97,0.982776089159068,0.995893223819302,0.97,2
1.6,3776573414.249681,45260243,32.40200594999547,32.40200594999547,0.982,0.9819964713083764,0.9823781844966454,0.982,0.996,0.9822485207100592,0.9688715953307392,0.996,0.968,0.9817444219066938,0.9958847736625516,0.968,2
